method,case_id,turn_index,status,checklist_score,failed_item_count,critical_failed_count,history_retention,current_success,failed_items,failed_reasons,instruction,image_path
pullprompt,spatial_relation_cat_book,1,OK,1.0,0,0,1.0,1.0,,,Generate a cat sleeping beside a book near a window.,outputs/benchmarks/memory_stress_full_v2_20260723/pullprompt/spatial_relation_cat_book/turn_01/image.png
pullprompt,spatial_relation_cat_book,2,OK,1.0,0,0,1.0,1.0,,,Make the cat orange.,outputs/benchmarks/memory_stress_full_v2_20260723/pullprompt/spatial_relation_cat_book/turn_02/image.png
pullprompt,spatial_relation_cat_book,3,OK,1.0,0,0,1.0,1.0,,,Change the room into a cozy library.,outputs/benchmarks/memory_stress_full_v2_20260723/pullprompt/spatial_relation_cat_book/turn_03/image.png
pullprompt,spatial_relation_cat_book,4,OK,1.0,0,0,1.0,1.0,,,"Add morning sunlight, keeping the orange cat beside the book.",outputs/benchmarks/memory_stress_full_v2_20260723/pullprompt/spatial_relation_cat_book/turn_04/image.png
pullprompt,style_conflict_robot,1,OK,1.0,0,0,1.0,1.0,,,Generate a friendly robot standing in a classroom in pixel art style.,outputs/benchmarks/memory_stress_full_v2_20260723/pullprompt/style_conflict_robot/turn_01/image.png
pullprompt,style_conflict_robot,2,OK,1.0,0,0,1.0,1.0,,,Make the robot hold a red book.,outputs/benchmarks/memory_stress_full_v2_20260723/pullprompt/style_conflict_robot/turn_02/image.png
pullprompt,style_conflict_robot,3,OK,1.0,0,0,1.0,1.0,,,Change the whole image to realistic photo style instead of pixel art.,outputs/benchmarks/memory_stress_full_v2_20260723/pullprompt/style_conflict_robot/turn_03/image.png
pullprompt,style_conflict_robot,4,OK,1.0,0,0,1.0,1.0,,,"Add warm window light, keeping the realistic photo style and red book.",outputs/benchmarks/memory_stress_full_v2_20260723/pullprompt/style_conflict_robot/turn_04/image.png
structured-memory,background_only_dog,1,OK,1.0,0,0,1.0,1.0,,,Generate a dog sitting in the center of a park.,outputs/benchmarks/memory_stress_full_v2_20260723/structured-memory/background_only_dog/turn_01/image.png
structured-memory,background_only_dog,2,OK,1.0,0,0,1.0,1.0,,,Make the dog wear a red scarf.,outputs/benchmarks/memory_stress_full_v2_20260723/structured-memory/background_only_dog/turn_02/image.png
structured-memory,background_only_dog,3,OK,1.0,0,0,1.0,1.0,,,Change only the background to a snowy forest.,outputs/benchmarks/memory_stress_full_v2_20260723/structured-memory/background_only_dog/turn_03/image.png
structured-memory,background_only_dog,4,OK,1.0,0,0,1.0,1.0,,,"Add warm lighting without changing the dog, scarf, or sitting pose.",outputs/benchmarks/memory_stress_full_v2_20260723/structured-memory/background_only_dog/turn_04/image.png
structured-memory,count_conflict_balloons,1,OK,1.0,0,0,1.0,1.0,,,Generate a child holding exactly two balloons.,outputs/benchmarks/memory_stress_full_v2_20260723/structured-memory/count_conflict_balloons/turn_01/image.png
structured-memory,count_conflict_balloons,2,OK,1.0,0,0,1.0,1.0,,,Make one balloon red and one balloon yellow.,outputs/benchmarks/memory_stress_full_v2_20260723/structured-memory/count_conflict_balloons/turn_02/image.png
structured-memory,count_conflict_balloons,3,OK,1.0,0,0,1.0,1.0,,,Change the count to exactly three balloons by adding one blue balloon.,outputs/benchmarks/memory_stress_full_v2_20260723/structured-memory/count_conflict_balloons/turn_03/image.png
structured-memory,count_conflict_balloons,4,OK,1.0,0,0,1.0,1.0,,,"Put the child on a beach, keeping exactly three balloons and no extra balloons.",outputs/benchmarks/memory_stress_full_v2_20260723/structured-memory/count_conflict_balloons/turn_04/image.png
structured-memory,material_conflict_vase,1,OK,1.0,0,0,1.0,1.0,,,Generate a clear glass vase with exactly three flowers on a wooden table.,outputs/benchmarks/memory_stress_full_v2_20260723/structured-memory/material_conflict_vase/turn_01/image.png
structured-memory,material_conflict_vase,2,OK,1.0,0,0,1.0,1.0,,,Make the flowers purple.,outputs/benchmarks/memory_stress_full_v2_20260723/structured-memory/material_conflict_vase/turn_02/image.png
structured-memory,material_conflict_vase,3,BAD,0.75,1,1,0.5,1.0,purple_flowers [attribute_drift/history],"The flowers are red, yellow, and white with purple tips, not fully purple as previously requested.",Change the vase material to white ceramic instead of glass.,outputs/benchmarks/memory_stress_full_v2_20260723/structured-memory/material_conflict_vase/turn_03/image.png
structured-memory,material_conflict_vase,4,BAD,0.5,2,2,0.3333,1.0,ceramic_vase [material_conflict/history]; purple_flowers [attribute_drift/history],"The vase is transparent glass with a white ceramic base, not entirely white ceramic as required. | Only one flower has purple edges; the other two are red and yellow, not purple.","Add rain visible through a window behind the table, keeping the ceramic vase and three purple flowers.",outputs/benchmarks/memory_stress_full_v2_20260723/structured-memory/material_conflict_vase/turn_04/image.png
structured-memory,negative_constraint_teacher,1,OK,1.0,0,0,1.0,1.0,,,Generate a teacher robot standing beside a classroom blackboard.,outputs/benchmarks/memory_stress_full_v2_20260723/structured-memory/negative_constraint_teacher/turn_01/image.png
structured-memory,negative_constraint_teacher,2,OK,1.0,0,0,1.0,1.0,,,Make the robot hold a red textbook.,outputs/benchmarks/memory_stress_full_v2_20260723/structured-memory/negative_constraint_teacher/turn_02/image.png
structured-memory,negative_constraint_teacher,3,OK,1.0,0,0,1.0,1.0,,,Use children's book illustration style.,outputs/benchmarks/memory_stress_full_v2_20260723/structured-memory/negative_constraint_teacher/turn_03/image.png
structured-memory,negative_constraint_teacher,4,BAD,0.75,1,1,1.0,0.0,no_readable_text [negative_constraint/current],"The blackboard contains large, legible chalk writing including 'ABC', 'Y22C', and 'aid 2100', which violates the negative constraint.","Keep the red textbook and classroom, but do not include readable text on the blackboard.",outputs/benchmarks/memory_stress_full_v2_20260723/structured-memory/negative_constraint_teacher/turn_04/image.png
structured-memory,negative_extra_performers,1,OK,1.0,0,0,1.0,1.0,,,Generate a robot playing a violin on a stage.,outputs/benchmarks/memory_stress_full_v2_20260723/structured-memory/negative_extra_performers/turn_01/image.png
structured-memory,negative_extra_performers,2,OK,1.0,0,0,1.0,1.0,,,Make the violin golden.,outputs/benchmarks/memory_stress_full_v2_20260723/structured-memory/negative_extra_performers/turn_02/image.png
structured-memory,negative_extra_performers,3,OK,1.0,0,0,1.0,1.0,,,Do not add any extra performers.,outputs/benchmarks/memory_stress_full_v2_20260723/structured-memory/negative_extra_performers/turn_03/image.png
structured-memory,negative_extra_performers,4,OK,1.0,0,0,1.0,1.0,,,"Add blue spotlights, keeping the robot playing the golden violin with no extra performers.",outputs/benchmarks/memory_stress_full_v2_20260723/structured-memory/negative_extra_performers/turn_04/image.png
structured-memory,object_addition_wallet,1,OK,1.0,0,0,1.0,1.0,,,Generate a black leather wallet on a marble countertop with a credit card partially sticking out.,outputs/benchmarks/memory_stress_full_v2_20260723/structured-memory/object_addition_wallet/turn_01/image.png
structured-memory,object_addition_wallet,2,OK,1.0,0,0,1.0,1.0,,,"Remove the credit card from the wallet, but keep the wallet.",outputs/benchmarks/memory_stress_full_v2_20260723/structured-memory/object_addition_wallet/turn_02/image.png
structured-memory,object_addition_wallet,3,BAD,0.6667,1,1,0.5,1.0,no_credit_card [object_removal/history],"A credit card is partially visible, extending from the right side of the wallet, violating the constraint to remove it.",Put a small white flower on the wallet.,outputs/benchmarks/memory_stress_full_v2_20260723/structured-memory/object_addition_wallet/turn_03/image.png
structured-memory,object_addition_wallet,4,OK,1.0,0,0,1.0,1.0,,,Add soft studio lighting while keeping the flower on the wallet and no credit card.,outputs/benchmarks/memory_stress_full_v2_20260723/structured-memory/object_addition_wallet/turn_04/image.png
structured-memory,object_replacement_wolf_dog,1,OK,1.0,0,0,1.0,1.0,,,Generate a gray wolf standing in the snow.,outputs/benchmarks/memory_stress_full_v2_20260723/structured-memory/object_replacement_wolf_dog/turn_01/image.png
structured-memory,object_replacement_wolf_dog,2,OK,1.0,0,0,1.0,1.0,,,Replace the wolf with a black dog.,outputs/benchmarks/memory_stress_full_v2_20260723/structured-memory/object_replacement_wolf_dog/turn_02/image.png
structured-memory,object_replacement_wolf_dog,3,OK,1.0,0,0,1.0,1.0,,,Move the black dog to the left side of the image.,outputs/benchmarks/memory_stress_full_v2_20260723/structured-memory/object_replacement_wolf_dog/turn_03/image.png
structured-memory,object_replacement_wolf_dog,4,OK,1.0,0,0,1.0,1.0,,,Add a blue collar to the dog while keeping it on the left in the snow.,outputs/benchmarks/memory_stress_full_v2_20260723/structured-memory/object_replacement_wolf_dog/turn_04/image.png
structured-memory,scarf_color_conflict_fox,1,OK,1.0,0,0,1.0,1.0,,,Generate a fox standing in autumn leaves.,outputs/benchmarks/memory_stress_full_v2_20260723/structured-memory/scarf_color_conflict_fox/turn_01/image.png
structured-memory,scarf_color_conflict_fox,2,OK,1.0,0,0,1.0,1.0,,,Make the fox wear a red scarf.,outputs/benchmarks/memory_stress_full_v2_20260723/structured-memory/scarf_color_conflict_fox/turn_02/image.png
structured-memory,scarf_color_conflict_fox,3,OK,1.0,0,0,1.0,1.0,,,"Change the scarf to a blue scarf, replacing the red scarf.",outputs/benchmarks/memory_stress_full_v2_20260723/structured-memory/scarf_color_conflict_fox/turn_03/image.png
structured-memory,scarf_color_conflict_fox,4,BAD,0.75,1,1,0.6667,1.0,no_red_scarf [attribute_conflict/history],"The fox is wearing a red scarf underneath the blue scarf, which violates the constraint to remove the red scarf.",Add light snow while keeping the blue scarf and autumn leaves.,outputs/benchmarks/memory_stress_full_v2_20260723/structured-memory/scarf_color_conflict_fox/turn_04/image.png
structured-memory,spatial_relation_cat_book,1,OK,1.0,0,0,1.0,1.0,,,Generate a cat sleeping beside a book near a window.,outputs/benchmarks/memory_stress_full_v2_20260723/structured-memory/spatial_relation_cat_book/turn_01/image.png
structured-memory,spatial_relation_cat_book,2,OK,1.0,0,0,1.0,1.0,,,Make the cat orange.,outputs/benchmarks/memory_stress_full_v2_20260723/structured-memory/spatial_relation_cat_book/turn_02/image.png
structured-memory,spatial_relation_cat_book,3,OK,1.0,0,0,1.0,1.0,,,Change the room into a cozy library.,outputs/benchmarks/memory_stress_full_v2_20260723/structured-memory/spatial_relation_cat_book/turn_03/image.png
structured-memory,spatial_relation_cat_book,4,OK,1.0,0,0,1.0,1.0,,,"Add morning sunlight, keeping the orange cat beside the book.",outputs/benchmarks/memory_stress_full_v2_20260723/structured-memory/spatial_relation_cat_book/turn_04/image.png
structured-memory,style_conflict_robot,1,OK,1.0,0,0,1.0,1.0,,,Generate a friendly robot standing in a classroom in pixel art style.,outputs/benchmarks/memory_stress_full_v2_20260723/structured-memory/style_conflict_robot/turn_01/image.png
structured-memory,style_conflict_robot,2,OK,1.0,0,0,1.0,1.0,,,Make the robot hold a red book.,outputs/benchmarks/memory_stress_full_v2_20260723/structured-memory/style_conflict_robot/turn_02/image.png
structured-memory,style_conflict_robot,3,OK,1.0,0,0,1.0,1.0,,,Change the whole image to realistic photo style instead of pixel art.,outputs/benchmarks/memory_stress_full_v2_20260723/structured-memory/style_conflict_robot/turn_03/image.png
structured-memory,style_conflict_robot,4,OK,1.0,0,0,1.0,1.0,,,"Add warm window light, keeping the realistic photo style and red book.",outputs/benchmarks/memory_stress_full_v2_20260723/structured-memory/style_conflict_robot/turn_04/image.png
